"#","g#","Cover","Album","Streams","Daily"
"","247","","Feliz Cumpleaños, Ferxxo, Te Pirateamos El Álbum Feid","3,448,817,901","3,284,062"
"","248","","Freudian Daniel Caesar","3,438,517,659","2,972,551"
"","249","","The Goat Polo G","3,432,258,743","1,239,988"
"","250","","If You're Reading This It's Too Late Drake","3,421,966,200","734,343"
"","251","","Ballads 1 Joji","3,394,106,386","992,023"
"","252","","Love Yourself: Tear BTS","3,393,724,586","959,174"
"","253","","A Place We Knew Dean Lewis","3,386,434,857","1,097,590"
"","254","","Smoke + Mirrors Imagine Dragons","3,380,885,467","923,514"
"","255","","How I'm Feeling Lauv","3,365,008,711","717,012"
"","256","","Beyoncé Beyoncé","3,360,828,013","1,002,768"
"","257","","Kamikaze Eminem","3,359,117,819","1,149,340"
"","258","","Dark Lane Demo Tapes Drake","3,358,506,339","1,349,806"
"","259","","Abbey Road The Beatles","3,353,227,064","1,900,618"
"","260","","Talk That Talk Rihanna","3,349,118,383","2,063,360"
"","261","","Speak Now Taylor Swift","3,340,744,487","863,526"
"","262","","Revenge XXXTentacion","3,320,034,639","1,514,136"
"","263","","Long Way Down Tom Odell","3,314,602,840","2,293,208"
"","264","","Encore Eminem","3,313,434,219","1,907,332"
"","265","","The Pinkprint Nicki Minaj","3,313,145,010","841,022"
"","266","","Barbie The Album Various Artists","3,312,029,182","3,231,108"
"","267","","I Cry When I Laugh Jess Glynne","3,308,110,296","1,158,910"
"","268","","All Eyez On Me 2Pac","3,301,668,196","1,568,973"
"","269","","Wings / You Never Walk Alone BTS","3,293,013,633","837,871"
"","270","","Phoenix Rita Ora","3,289,817,443","503,046"
"","271","","Her Loss Drake & 21 Savage","3,276,680,650","1,682,968"
"","272","","The Neighbourhood / Hard To Imagine The Neighbourhood Ever Changing The Neighbourhood","3,272,691,129","3,629,013"
"","273","","54+1 Danny Ocean","3,256,768,976","1,286,036"
"","274","","Another Friday Night Joel Corry","3,256,457,763","1,112,722"
"","275","","Queen Of The Clouds Tove Lo","3,255,525,864","1,115,995"
"","276","","Changes Justin Bieber","3,244,514,669","743,016"
"","277","","El Dorado Shakira","3,242,299,321","949,600"
"","278","","Not All Heroes Wear Capes Metro Boomin","3,238,978,073","1,656,962"
"","279","","Balas Perdidas Morat","3,235,248,918","1,789,964"
"","280","","Youngblood 5 Seconds of Summer","3,234,573,777","787,274"
"","281","","Revival Selena Gomez","3,223,279,279","559,531"
"","282","","Confessions Usher","3,209,855,387","2,499,292"
"","283","","The Twilight Saga: Breaking Dawn - Part 1 Various Artists","3,204,023,197","1,793,120"
"","284","","One More Love David Guetta","3,201,804,635","2,416,031"
"","285","","Dummy Boy 6ix9ine","3,184,523,822","954,963"
"","286","","Die Lit Playboi Carti","3,172,220,293","1,737,717"
"","287","","The Game Queen","3,145,224,542","2,112,349"
"","288","","Hoodie SZN A Boogie Wit da Hoodie","3,136,134,756","723,548"
"","289","","Flicker Niall Horan","3,135,242,044","897,827"
"","290","","Only Human Calum Scott","3,134,475,182","1,074,419"
"","291","","Only By The Night Kings of Leon","3,128,879,162","2,201,215"
"","292","","Vibras J Balvin","3,128,377,020","704,338"
"","293","","Viva La Vida Or Death And All His Friends Coldplay","3,112,532,861","2,376,960"
"","294","","Swimming Mac Miller","3,104,851,836","1,265,367"
"","295","","Carte Blanche DJ Snake","3,090,299,278","669,228"
"","296","","Funk Wav Bounces Vol.1 Calvin Harris","3,086,905,740","1,028,729"
"","297","","Whole Lotta Red Playboi Carti","3,081,484,267","2,407,635"
"","298","","Fénix Nicky Jam","3,074,713,000","783,522"
"","299","","The Wall Pink Floyd","3,071,717,376","1,274,529"
"","300","","The Search NF","3,067,706,627","1,024,371"
"","301","","Endless Summer Vacation Miley Cyrus","3,059,984,216","2,054,604"
"","302","","Cosmic Bazzi","3,058,543,123","578,233"
"","303","","Rare Selena Gomez","3,055,190,229","818,962"
"","304","","Renaissance Beyoncé","3,052,892,905","1,306,625"
"","305","","If I Know Me Morgan Wallen","3,047,625,896","1,931,570"
"","306","","Frozen Various Artists","3,042,869,372","1,207,226"
"","307","","Fireworks & Rollerblades Benson Boone","3,041,588,232","9,442,602"
"","308","","LP1 Liam Payne","3,041,306,883","365,987"
"","309","","The Lockdown Sessions Elton John","3,040,070,460","1,629,630"
"","310","","I Am > I Was 21 Savage","3,026,959,581","1,316,872"
"","311","","Ghost Stories Coldplay","3,026,460,862","2,152,345"
"","312","","Watch The Throne Jay-Z & Kanye West","3,023,580,967","1,368,196"
"","313","","For All The Dogs Drake","3,016,537,889","3,325,392"
"","314","","Death Of A Bachelor Panic! At The Disco","3,005,998,016","842,493"
"","315","","Dharma Sebastian Yatra","3,005,676,609","1,086,296"
"","316","","Cleopatra The Lumineers","3,002,138,613","1,636,104"
"","317","","Thats What They All Say Jack Harlow","3,001,188,643","741,438"
"","318","","The E.N.D. (The Energy Never Dies) Black Eyed Peas","3,001,179,815","2,116,917"
"","319","","Man On The Moon: The End Of Day Kid Cudi","2,967,419,443","1,036,814"
"","320","","Up All Night One Direction","2,953,094,421","1,522,609"
"","321","","Nectar Joji","2,948,809,090","1,138,998"
"","322","","Stadium Arcadium Red Hot Chili Peppers","2,946,678,493","1,233,897"
"","323","","Exodus Bob Marley & The Wailers","2,943,934,664","1,915,746"
"","324","","Donda Kanye West","2,933,961,974","1,037,574"
"","325","","Wiped Out! The Neighbourhood","2,933,634,840","1,762,943"
"","326","","The Lumineers The Lumineers","2,921,884,222","1,664,451"
"","327","","We Sing. We Dance. We Steal Things. Jason Mraz","2,919,206,280","917,133"
"","328","","Ready To Die The Notorious B.I.G.","2,910,916,425","1,144,394"
"","329","","Savage Mode II 21 Savage & Metro Boomin","2,904,480,162","2,453,526"
"","330","","Torches X Foster The People","2,903,776,692","1,747,188"
"","331","","Safe Haven Ruth B.","2,896,624,235","1,377,439"
"","332","","Afrodisíaco Rauw Alejandro","2,896,064,903","3,700,494"
"","333","","Demon Days Gorillaz","2,882,362,515","1,700,353"
"","334","","All The Little Lights Passenger","2,876,317,845","1,019,424"
"","335","","19 Adele","2,873,946,235","1,715,989"
"","336","","Loose Nelly Furtado","2,871,617,559","2,573,668"
"","337","","Culture Migos","2,865,741,621","380,143"
"","338","","Lukas Graham (Blue Album) Lukas Graham","2,864,035,433","1,014,548"
"","339","","Artificial Paradise OneRepublic","2,863,931,998","4,779,271"
"","340","","Trolls Various Artists","2,863,311,882","874,395"
"","341","","Bangerz Miley Cyrus","2,859,063,971","872,347"
"","342","","Grateful DJ Khaled","2,855,628,888","640,027"
"","343","","Pray For The Wicked Panic! At The Disco","2,853,839,297","667,461"
"","344","","Final (Vol.1) Enrique Iglesias","2,852,778,958","706,013"
"","345","","Chaos And The Calm James Bay","2,851,440,552","602,574"
"","346","","Born This Way Lady Gaga","2,848,886,635","2,392,617"
"","347","","Motomami Rosalía","2,848,499,712","1,610,878"
"","348","","The Time Of Our Lives Miley Cyrus","2,844,526,585","1,521,186"
"","349","","Wild Ones Flo Rida","2,842,672,926","1,532,209"
"","350","","Map Of The Soul: Persona BTS","2,839,690,638","643,991"
"","351","","Love In The Future John Legend","2,829,764,010","1,076,998"
"","352","","Playboi Carti Playboi Carti","2,826,970,565","1,445,533"
"","353","","Rodeo Travis Scott","2,825,979,192","2,025,718"
"","354","","Aura Ozuna","2,824,539,265","523,561"
"","355","","Bad Michael Jackson","2,823,406,055","1,366,727"
"","356","","Fighting Demons Juice WRLD","2,817,310,934","1,057,163"
"","357","","Glory Days Little Mix","2,810,756,854","561,549"
"","358","","An Evening With Silk Sonic Bruno Mars & Anderson .Paak.","2,808,605,425","1,688,605"
"","359","","eternal sunshine  Ariana Grande","2,794,291,054","7,511,959"
"","360","","Expectations Bebe Rexha","2,794,264,653","489,946"
"","361","","Mind Of Mine Zayn","2,786,904,553","563,042"
"","362","","DNCE DNCE","2,786,344,205","796,618"
"","363","","Colores J Balvin","2,782,584,957","661,023"
"","364","","Legendary Tyga","2,782,550,465","620,340"
"","365","","Blame It On Baby DaBaby","2,782,195,023","388,896"
"","366","","Easy Money Baby Myke Towers","2,781,551,597","1,671,128"
"","367","","Revenge Of The Dreamers III J. Cole & Various Artists","2,780,379,417","839,397"
"","368","","Hit Me Hard And Soft Billie Eilish","2,776,492,164","21,151,785"
"","369","","The Truth About Love P!nk","2,772,667,882","2,154,523"
"","370","","Future Future","2,770,809,034","1,121,889"
"","371","","Drip Harder Lil Baby","2,761,905,654","1,068,107"
